Country Name,Country Code,2022
Aruba,ABW,
Africa Eastern and Southern,AFE,
Afghanistan,AFG,
Africa Western and Central,AFW,
Angola,AGO,228.8709708
Albania,ALB,49.21327605
Andorra,AND,
Arab World,ARB,
United Arab Emirates,ARE,2.659121195
Argentina,ARG,
Armenia,ARM,165.196783
American Samoa,ASM,
Antigua and Barbuda,ATG,2.132813881
Australia,AUS,1.450002
Austria,AUT,0.733283
Azerbaijan,AZE,0.5089027104
Burundi,BDI,723.1368337
Belgium,BEL,0.791935
Benin,BEN,205.5219388
Burkina Faso,BFA,203.7109702
Bangladesh,BGD,29.13214845
Bulgaria,BGR,0.7642807977
Bahrain,BHR,0.2002393719
"Bahamas, The",BHS,1.146468535
Bosnia and Herzegovina,BIH,0.766161735
Belarus,BLR,0.7889377869
Belize,BLZ,1.09869613
Bermuda,BMU,
Bolivia,BOL,2.30603239
Brazil,BRA,2.478836756
Barbados,BRB,
Brunei Darussalam,BRN,0.5821159213
Bhutan,BTN,20.8936729
Botswana,BWA,5.271330053
Central African Republic,CAF,270.1358776
Canada,CAN,1.223979
Central Europe and the Baltics,CEB,
Switzerland,CHE,1.171292
Channel Islands,CHI,
Chile,CHL,494.042985
China,CHN,3.788812948
Cote d'Ivoire,CIV,232.5177964
Cameroon,CMR,198.2184859
"Congo, Dem. Rep.",COD,
"Congo, Rep.",COG,231.2063188
Colombia,COL,1570.138912
Comoros,COM,
Cabo Verde,CPV,54.36826503
Costa Rica,CRI,375.657788
Caribbean small states,CSS,
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,0.6296670336
Czechia,CZE,14.862593
Germany,DEU,0.731005
Djibouti,DJI,94.39717425
Dominica,DMA,1.622974916
Denmark,DNK,7.392324
Dominican Republic,DOM,23.30897064
Algeria,DZA,39.82619505
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe & Central Asia (excluding high income),ECA,
Europe & Central Asia,ECS,
Ecuador,ECU,0.4649243518
"Egypt, Arab Rep.",EGY,4.338943573
Euro area,EMU,
Eritrea,ERI,
Spain,ESP,0.631188
Estonia,EST,0.669156
Ethiopia,ETH,16.65740429
European Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,0.84955
Fiji,FJI,0.914402799
France,FRA,0.757801
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,0.9266760768
Gabon,GAB,289.7505182
United Kingdom,GBR,0.700129
Georgia,GEO,1.112194534
Ghana,GHA,2.982585602
Gibraltar,GIB,
Guinea,GIN,3295.534466
"Gambia, The",GMB,15.92546806
Guinea-Bissau,GNB,220.792248
Equatorial Guinea,GNQ,279.1238865
Greece,GRC,0.589066
Grenada,GRD,1.757944144
Greenland,GRL,
Guatemala,GTM,3.407371225
Guam,GUM,
Guyana,GUY,97.72128663
High income,HIC,
"Hong Kong SAR, China",HKG,6.026259601
Honduras,HND,11.90069941
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,0.4891866328
Haiti,HTI,65.78841806
Hungary,HUN,177.566437
IBRD only,IBD,
IDA & IBRD total,IBT,
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,5165.528795
IDA only,IDX,
Isle of Man,IMN,
India,IND,19.23392906
Not classified,INX,
Ireland,IRL,0.932113
"Iran, Islamic Rep.",IRN,63798.95443
Iraq,IRQ,559.5616839
Iceland,ISL,154.612202
Israel,ISR,3.704053
Italy,ITA,0.672825
Jamaica,JAM,92.64366219
Jordan,JOR,0.3320876448
Japan,JPN,103.06419
Kazakhstan,KAZ,151.6209579
